recordType,unit,creationDate,startDate,endDate,value,day of week (numeric),day of week (string),month
HKQuantityTypeIdentifierStepCount,count,2020-07-25,1595743343,1595743353,25,5,Saturday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595747679,1595747791,68,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595750047,1595750055,16,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595751053,1595751063,18,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595796506,1595796516,22,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595797476,1595797489,23,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595799036,1595799085,16,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595805832,1595806405,122,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595806607,1595806612,8,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595807685,1595808235,98,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595808417,1595808666,28,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595810271,1595810273,11,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595812324,1595812684,164,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595814610,1595814612,8,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595815294,1595815296,16,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595816435,1595816948,197,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595820282,1595820338,48,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595821281,1595821294,11,6,Sunday,7
HKQuantityTypeIdentifierStepCount,count,2020-07-26,1595823850,1595824382,35,6,Sunday,7
